MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
367396710,2021-01-01T10:44:42,37.80449,-122.34378,10.0,314.5,313.0
367396710,2021-01-01T10:57:32,37.83544000000001,-122.36771,10.5,321.9,322.0
367396710,2021-01-01T10:48:13,37.81155,-122.35255,10.1,318.8,319.0
367396710,2021-01-01T10:50:32,37.81713,-122.35761,10.0,333.2,334.0
367396710,2021-01-01T10:52:52,37.82295,-122.36073,10.2,341.8,340.0
367396710,2021-01-01T10:31:53,37.79239000000001,-122.30209,9.9,273.8,272.0
367396710,2021-01-01T10:56:12,37.83207,-122.36507,10.8,334.0,332.0
367396710,2021-01-01T11:00:03,37.84149,-122.37337,10.6,322.5,324.0
367396710,2021-01-01T10:59:53,37.84108,-122.37299999999999,10.7,324.4,324.0
367396710,2021-01-01T11:01:12,37.84429,-122.37588,10.7,324.8,324.0
367396710,2021-01-01T11:05:51,37.85577,-122.3857,10.6,325.0,325.0
367396710,2021-01-01T11:07:03,37.85865,-122.38818,10.4,325.9,324.0
367396710,2021-01-01T11:02:22,37.84717,-122.37837,10.5,326.2,324.0
367396710,2021-01-01T11:03:32,37.85005,-122.38082,10.8,326.4,324.0
367396710,2021-01-01T11:11:42,37.87011,-122.39801,10.8,326.0,325.0
367396710,2021-01-01T11:08:12,37.86145,-122.39059,10.6,325.0,325.0
367396710,2021-01-01T11:09:23,37.86435,-122.39306,10.6,326.5,325.0
367396710,2021-01-01T11:12:52,37.87303,-122.40054,11.0,325.7,325.0
367396710,2021-01-01T11:10:33,37.86724,-122.39554,10.8,324.9,324.0
367396710,2021-01-01T11:16:23,37.88226,-122.40775,11.1,329.6,328.0
367396710,2021-01-01T11:25:12,37.90676,-122.42195,11.0,347.6,348.0
367396710,2021-01-01T11:28:42,37.91733,-122.42399999999999,11.1,352.4,351.0
367396710,2021-01-01T11:20:52,37.89439,-122.41615,11.0,334.1,333.0
367396710,2021-01-01T11:22:02,37.89762,-122.41818,11.0,334.5,334.0
367396710,2021-01-01T11:24:11,37.90375,-122.42118,11.1,348.3,348.0
367396710,2021-01-01T11:23:03,37.9004,-122.41977,11.2,337.9,336.0
367396710,2021-01-01T11:36:43,37.94111,-122.42946,10.8,347.6,347.0
367396710,2021-01-01T11:29:53,37.92091,-122.42461000000002,10.9,352.1,351.0
367396710,2021-01-01T11:37:52,37.94449,-122.43042,10.6,348.7,347.0
367396710,2021-01-01T11:27:32,37.91382,-122.4234,11.3,351.5,350.0
367396710,2021-01-01T11:26:22,37.91024,-122.42276,10.9,351.5,350.0
367396710,2021-01-01T11:32:03,37.92738,-122.4259,10.8,349.3,351.0
